_id,site,name,rating,street[0],city[0],state[0],phone[0],country[0]
654ee00027cf607b0a22d741,durell_market,Series TV,0, Cité U, Yaoundé, Cameroun ,237694569554,
654ee00027cf607b0a22d742,durell_market,Bazar Shopping,0, Bonas, Yaoundé, Cameroun,, Cameroun 
654ee00027cf607b0a22d743,durell_market,Computer Shoping,0, Bonamoussadi, Douala, Cameroun ,237699884455,
654ee00027cf607b0a22d744,durell_market,Christy Shop,0, Douala, Cameroun ,,+237699885544,
654ee00027cf607b0a22d745,durell_market,YKGCMR,0, Cameroun ,,,237695980808,
654ee00027cf607b0a22d746,durell_market,Adeline Shopping,0, Cameroun ,,,,
654ee00027cf607b0a22d747,durell_market,Kath VM,0, Bepanda, Douala, Cameroun ,+237695656212,
654ee00027cf607b0a22d748,durell_market,Geraldine Shop,0, Cameroun ,,,237679610142,
654ee00027cf607b0a22d749,durell_market,Que du bon Shop,0, Cameroun ,,,696272954,
654ee00027cf607b0a22d74a,durell_market,DorlyShop,0, Cameroun ,,,,
654ee00027cf607b0a22d74b,durell_market,Emilie Shopping,5, Mboppi. Douala, Douala, Cameroon,655408055, Cameroun 
654ee00027cf607b0a22d74c,durell_market,Abo Shop,0, Cameroun ,,,+23774856699,
654ee00027cf607b0a22d74d,durell_market,Achillo Fashion,0, Cameroun ,,,+23765544115,
654ee00027cf607b0a22d74e,durell_market,Afissou Boutique,0, Cameroun ,,,+23765544114,
654ee00027cf607b0a22d74f,durell_market,Andre Boutique,0, Cameroun ,,,,
654ee00027cf607b0a22d750,durell_market,Gladys Shopping,0, Cameroun ,,,,
654ee00027cf607b0a22d751,durell_market,BeHappy,0, Sénégal ,,,00221777148841,
654ee00027cf607b0a22d752,durell_market,Leader Electronic,0, Cameroun ,,,,
654ee00027cf607b0a22d753,durell_market,The Ongoing of Roses shop,0, Douala, Cameroun ,,674923365,
654ee00027cf607b0a22d754,durell_market,CAMTEL BLUE,5, Rue Prince Bell – Bali, Douala, Littoral,691931123, Cameroun 
654ee00027cf607b0a22d755,durell_market,Vallée nlongkak,0, Centre, Cameroun ,,675345086,
654ee00027cf607b0a22d756,durell_market,Shopping claire,0, Dschang, Ouest, Cameroun ,693032735,
654ee00027cf607b0a22d757,durell_market,CAJA GROUP INDUSTRY,0, 2057, DOUALA, LITTORAL,671835235, Cameroun 
654ee00027cf607b0a22d758,durell_market,Guyzo & Co,0, Toungang ville, Bafoussam, Ouest,656039493, Cameroun 
654ee00027cf607b0a22d759,durell_market,Green Gold,0,,,,655948898,
654ee00027cf607b0a22d75a,durell_market,Rosy shopping,0,,,,670627113,
654ee00027cf607b0a22d75b,durell_market,AFOSERV SAS Sarl,0, Makepe Bloc M, Douala, Littoral,+237694879084, Cameroun 
654ee00027cf607b0a22d75c,durell_market,sylla,0, deido, Douala, littoral,+237690610703, Cameroun 
654ee00027cf607b0a22d75d,durell_market,Uimo Mobilier,0, Douala, Littoral, Cameroun ,694329970,
654ee00027cf607b0a22d75e,durell_market,Eyonobeauty,0, Logbessou, Douala, Littoral,696761638, Cameroun 
654ee00027cf607b0a22d75f,durell_market,Maxime Jague,0, Bonamoussadi KM, Douala, Douala,+237, Cameroun 
654ee00027cf607b0a22d760,durell_market,Lebize,0, douala, littoral, Cameroun ,683800233,
654ee00027cf607b0a22d761,durell_market,Luxury shopping,0, Messassi, Yaoundé, Centre,657069815, Cameroun 
654ee00027cf607b0a22d762,durell_market,Kylian stars,0, Entrée laïque, Douala, Littoral,+237671536961, Cameroun 
654ee00027cf607b0a22d763,durell_market,Alain Ewolo,0, 30 rue d'evreux 77290 Mitry-mory, Mitry-mory, France ,0033749752317,
654ee00027cf607b0a22d764,durell_market,Montshopping,0, Kayo-Elie, Douala, Littoral,691470077, Cameroun 
654ee00027cf607b0a22d765,durell_market,Michel store,0,,,,+237,
654ee00027cf607b0a22d766,durell_market,Pas de boutique,0,,,,699062809,
654ee00027cf607b0a22d767,durell_market,Avenue lekems,0, Ahala, Yaoundé, Centre,693493671, Cameroun 
654ee00027cf607b0a22d768,durell_market,EMY SERVICES,0, Nouvelle Route Etoa Meki, Yaoundé, Centre,697082925, Cameroun 
654ee00027cf607b0a22d769,durell_market,Lanor telecom,0, Douala, Douala, Cameroon,671054340, Cameroun 
654ee00027cf607b0a22d76a,durell_market,HICOM STAR MONDIAL,0, Dakar Carrefour Combi, Douala, Littoral,674451350, Cameroun 
654ee00027cf607b0a22d76b,durell_market,BECARECAMEROON,0,,,,679573489,
654ee00027cf607b0a22d76c,durell_market,TT vente,0,,,,652706545,
654ee00027cf607b0a22d76d,durell_market,Diprimabe,0,,,,697369588,
654ee00027cf607b0a22d76e,durell_market,smart-touch,0, Yaoundé, Cameroun ,,680702370,
654ee00027cf607b0a22d76f,durell_market,Sextoy Douala,0, Douala, Littoral, Cameroun ,656467141,
654ee00027cf607b0a22d770,durell_market,Amel,0, Douala, Douala, Cameroun ,+237,
654ee00027cf607b0a22d771,durell_market,MODE AFRITUDE,0,,,,695857767,
654ee00027cf607b0a22d772,durell_market,ESTIM18,0,,,,+2376,
654ee00027cf607b0a22d773,durell_market,BOUTITEC,0, Douala, Littoral, Cameroun ,693900498/,
654ee00027cf607b0a22d774,durell_market,Symbiosis Systeme,0, Douala kotto, Douala, Littoral,2337655143628, Cameroun 
654ee00027cf607b0a22d775,durell_market,EASY BAZAR - BIJOUTERIE HYBRIDE,0, Bonanjo Douala, Douala - Cameroun, Littoral,+237, Cameroun 
654ee00027cf607b0a22d776,durell_market,Spikeprint,0, Bastos Yaoundé, YAOUNDé tsinga, Centre,+237697638343, Cameroun 
